id,time,tuple,operation,result
0,14-Dec-2021 03:51:33,"(1.0, 4.0)",Addition,5.0
1,14-Dec-2021 03:51:55,"(25.0, 5.0)",Division,5.0
2,14-Dec-2021 09:43:09,"(37.0, 2.0, 1.0)",Division,18.5
3,14-Dec-2021 09:50:54,"(12.0, 6.0, 3.0)",Multiplication,216.0
4,14-Dec-2021 09:51:45,"(1.0, 2.0, 3.0)",Multiplication,6.0
5,14-Dec-2021 09:51:52,"(1.0, 4.0, 2.0)",Subtraction,-7.0
6,14-Dec-2021 09:52:13,"(2337.0, 337.0)",Division,6.93
7,14-Dec-2021 09:52:25,"(28.0, 9.0, 6.0)",Subtraction,-43.0
8,14-Dec-2021 09:52:37,"(1.0, 5.0, 2.0)",Addition,8.0
9,14-Dec-2021 09:52:47,"(7.0, 7.0, 7.0)",Multiplication,343.0
10,14-Dec-2021 09:53:02,"(2.0, 7.0, 3.0, 8.0)",Addition,20.0
11,14-Dec-2021 09:54:33,"(21.0, 7.0, 3.0)",Division,1.0
